Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-07-28,47.0,47.0,39.25,39.25,42.2,97.0,4.0,4093.0,95.0,97.94,7.75,-7.75
2016-07-27,43.5,43.5,39.5,39.55,40.78,1180.0,15.0,48126.0,1180.0,100.0,4.0,-3.95
2016-07-25,40.0,42.7,40.0,40.5,40.58,500.0,5.0,20290.0,450.0,90.0,2.7,0.5
2016-07-22,39.8,39.8,39.5,39.7,39.72,500.0,3.0,19860.0,500.0,100.0,0.3,-0.1
2016-07-21,38.15,42.0,38.15,39.9,38.98,3981.0,19.0,155168.0,2971.0,74.63,3.85,1.75
2016-07-19,39.0,39.25,37.6,38.4,38.43,1172.0,18.0,45040.0,1054.0,89.93,1.65,-0.6
2016-07-18,39.3,39.5,39.3,39.5,39.48,600.0,4.0,23690.0,600.0,100.0,0.2,0.2
2016-07-15,39.0,39.0,39.0,39.0,39.0,25.0,1.0,975.0,25.0,100.0,0.0,0.0
2016-07-14,39.5,40.0,39.3,39.35,39.9,2990.0,20.0,119307.0,2790.0,93.31,0.7,-0.15
2016-07-13,40.05,40.05,39.05,39.15,39.71,6100.0,18.0,242242.0,6075.0,99.59,1.0,-0.9
2016-07-12,42.0,42.75,40.05,40.1,41.18,435.0,10.0,17913.0,250.0,57.47,2.7,-1.9
2016-07-11,41.0,41.95,40.0,40.05,40.32,1644.0,19.0,66294.0,1459.0,88.75,1.95,-0.95
2016-07-08,41.95,42.0,40.5,41.0,41.9,600.0,5.0,25138.0,600.0,100.0,1.5,-0.95
2016-07-07,40.05,41.75,40.0,40.25,40.09,1787.0,19.0,71635.0,1486.0,83.16,1.75,0.2
2016-07-05,41.75,41.75,39.65,40.0,39.89,1301.0,9.0,51896.0,1301.0,100.0,2.1,-1.75
2016-07-04,40.5,41.75,40.4,40.45,40.54,1200.0,12.0,48647.0,1000.0,83.33,1.35,-0.05
2016-07-01,41.2,41.8,39.65,40.4,40.47,3475.0,18.0,140649.0,2625.0,75.54,2.15,-0.8
2016-06-30,42.95,42.95,40.6,41.6,42.02,2785.0,28.0,117019.0,1980.0,71.1,2.35,-1.35
2016-06-29,41.0,44.25,40.0,42.55,42.56,8635.0,46.0,367502.0,4608.0,53.36,4.25,1.55
2016-06-28,44.5,44.5,42.2,42.25,43.52,25525.0,41.0,1110920.0,25307.0,99.15,2.3,-2.25
2016-06-27,42.5,44.5,42.05,43.15,43.66,28903.0,106.0,1261809.0,22488.0,77.81,2.45,0.65
2016-06-24,40.0,42.5,36.25,42.05,41.64,3895.0,62.0,162180.0,2935.0,75.35,6.25,2.05
2016-06-23,41.75,45.7,38.5,43.55,42.7,26975.0,192.0,1151705.0,15622.0,57.91,7.2,1.8
2016-06-22,38.8,41.9,37.55,38.7,37.83,132101.0,122.0,4997825.0,109471.0,82.87,4.35,-0.1
2016-06-21,38.1,41.0,37.25,37.35,37.39,54827.0,57.0,2049964.0,54100.0,98.67,3.75,-0.75
2016-06-20,38.0,38.3,37.0,38.0,37.13,123940.0,38.0,4601368.0,120000.0,96.82,1.3,0.0
2016-06-17,38.65,40.0,37.0,38.0,37.38,187467.0,207.0,7007035.0,160650.0,85.7,3.0,-0.65
2016-06-16,38.35,39.6,37.65,38.2,39.15,1082.0,13.0,42364.0,1016.0,93.9,1.95,-0.15
2016-06-15,38.0,38.6,38.0,38.5,38.51,396.0,10.0,15249.0,295.0,74.49,0.6,0.5
2016-06-14,38.65,38.65,36.75,38.55,37.23,135289.0,67.0,5037353.0,121571.0,89.86,1.9,-0.1
2016-06-13,40.5,40.5,37.0,39.0,37.14,115310.0,70.0,4282041.0,113545.0,98.47,3.5,-1.5
2016-06-10,39.0,39.8,38.25,38.55,38.88,400.0,26.0,15550.0,225.0,56.25,1.55,-0.45
